2025-10-07 07:16:51,016 - INFO     - root                         - Anwendung wird gestartet...
2025-10-07 07:16:51,089 - INFO     - core.database_manager        - Datenbankverbindung im Autocommit-Modus hergestellt.
2025-10-07 07:16:51,123 - DEBUG    - gui.add_task_tab             - Modul-Dropdown wird aktualisiert.
2025-10-07 07:16:51,124 - DEBUG    - gui.add_task_tab             - Aufgabe-hinzufügen-Tab initialisiert.
2025-10-07 07:16:51,131 - DEBUG    - gui.main_window              - UI-Setup abgeschlossen, alle Tabs initialisiert.
2025-10-07 07:16:51,132 - INFO     - gui.main_window              - Moduldaten haben sich geändert, aktualisiere abhängige UI-Komponenten...
2025-10-07 07:16:51,132 - DEBUG    - gui.add_task_tab             - Modul-Dropdown wird aktualisiert.
2025-10-07 07:16:51,132 - DEBUG    - gui.management_tab           - Modul-Liste wird aktualisiert.
2025-10-07 07:16:59,434 - INFO     - core.database_manager        - Datenbankverbindung im Autocommit-Modus hergestellt.
2025-10-07 07:16:59,434 - INFO     - core.latex_generator         - Konvertiere Markdown und erstelle .tex-Datei...
2025-10-07 07:16:59,434 - DEBUG    - pypandoc                     - Ensuring pandoc path...
2025-10-07 07:16:59,441 - DEBUG    - pypandoc                     - Verifying format...
2025-10-07 07:16:59,449 - DEBUG    - pypandoc                     - Identifying input type...
2025-10-07 07:16:59,450 - DEBUG    - pypandoc                     - Running pandoc...
2025-10-07 07:16:59,453 - DEBUG    - pypandoc                     - Ensuring pandoc path...
2025-10-07 07:16:59,453 - DEBUG    - pypandoc                     - Verifying format...
2025-10-07 07:16:59,458 - DEBUG    - pypandoc                     - Identifying input type...
2025-10-07 07:16:59,458 - DEBUG    - pypandoc                     - Running pandoc...
2025-10-07 07:16:59,462 - DEBUG    - pypandoc                     - Ensuring pandoc path...
2025-10-07 07:16:59,462 - DEBUG    - pypandoc                     - Verifying format...
2025-10-07 07:16:59,467 - DEBUG    - pypandoc                     - Identifying input type...
2025-10-07 07:16:59,468 - DEBUG    - pypandoc                     - Running pandoc...
2025-10-07 07:16:59,472 - INFO     - core.latex_generator         - Führe lualatex aus...
2025-10-07 07:17:01,485 - INFO     - core.latex_generator         - PDF 'Klausur_Wirtschaftsinformatik_Grundlagen.pdf' erfolgreich erstellt!
2025-10-07 07:17:01,485 - DEBUG    - core.latex_generator         - Räume temporäre Dateien auf...
2025-10-07 07:17:01,486 - INFO     - core.database_manager        - Datenbankverbindung geschlossen.
2025-10-07 07:18:14,747 - DEBUG    - gui.management_tab           - Modul ID 1 ausgewählt. Lade Pools.
2025-10-07 07:18:15,687 - DEBUG    - gui.management_tab           - Pool ID 3 als aktueller Kontext gesetzt. Lade Aufgaben.
2025-10-07 07:18:15,687 - DEBUG    - gui.management_tab           - Aktualisiere Aufgabenliste für Pool ID 3.
2025-10-07 07:18:23,441 - DEBUG    - gui.management_tab           - Pool ID 1 als aktueller Kontext gesetzt. Lade Aufgaben.
2025-10-07 07:18:23,441 - DEBUG    - gui.management_tab           - Aktualisiere Aufgabenliste für Pool ID 1.
2025-10-07 07:18:27,657 - DEBUG    - gui.management_tab           - Pool ID 2 als aktueller Kontext gesetzt. Lade Aufgaben.
2025-10-07 07:18:27,657 - DEBUG    - gui.management_tab           - Aktualisiere Aufgabenliste für Pool ID 2.
2025-10-07 07:18:30,184 - DEBUG    - gui.management_tab           - Pool ID 3 als aktueller Kontext gesetzt. Lade Aufgaben.
2025-10-07 07:18:30,184 - DEBUG    - gui.management_tab           - Aktualisiere Aufgabenliste für Pool ID 3.
2025-10-07 07:18:31,437 - DEBUG    - gui.management_tab           - Pool ID 2 als aktueller Kontext gesetzt. Lade Aufgaben.
2025-10-07 07:18:31,437 - DEBUG    - gui.management_tab           - Aktualisiere Aufgabenliste für Pool ID 2.
